"","eMat_GSE48581...1."
"1007_s_at",11.47028137
"1053_at",7.907460621
"117_at",6.965704942
"121_at",11.43529336
"1255_g_at",3.75747237
"1294_at",8.628549141
"1316_at",7.692871801
"1320_at",5.538286575
"1405_i_at",9.831144296
"1431_at",8.20307712
"1438_at",6.673260032
"1487_at",9.199124299
"1494_f_at",6.333269942
"1552256_a_at",7.442863647
"1552257_a_at",7.947459452
"1552258_at",6.250362015
"1552261_at",6.393300817
"1552263_at",7.083597125
"1552264_a_at",7.873962424
"1552266_at",3.7104098
"1552269_at",6.022546827
"1552271_at",6.313265491
"1552272_a_at",6.376214216
"1552274_at",8.296769668
"1552275_s_at",7.688064018
"1552276_a_at",6.988422366
"1552277_a_at",8.35839611
"1552278_a_at",7.095775204
"1552279_a_at",8.065316658
"1552280_at",4.877493686
"1552281_at",10.10440988
"1552283_s_at",6.59742616
"1552286_at",6.828763185
"1552287_s_at",8.210575272
"1552288_at",4.269115382
"1552289_a_at",5.175744391
"1552291_at",7.936688393
"1552293_at",5.895718242
"1552295_a_at",8.02526874
"1552296_at",5.059756091
"1552299_at",5.728585356
"1552301_a_at",5.332570219
"1552302_at",8.032133792
"1552303_a_at",8.210808429
"1552304_at",5.611515609
"1552306_at",5.471736501
"1552307_a_at",6.535265472
"1552309_a_at",8.906647192
"1552310_at",9.159007731
"1552311_a_at",7.905995536
"1552312_a_at",5.76290865
"1552314_a_at",5.381913388
"1552315_at",7.705442065
"1552316_a_at",7.965053938
"1552318_at",7.936293862
"1552319_a_at",5.512928429
"1552320_a_at",3.890195733
"1552321_a_at",5.274196398
"1552322_at",3.45561924
"1552323_s_at",6.137501692
"1552325_at",3.661249317
"1552326_a_at",6.744171034
"1552327_at",6.037068553
"1552329_at",7.712970047
"1552330_at",7.152711267
"1552332_at",7.44955224
"1552334_at",7.425290679
"1552335_at",6.406828675
"1552337_s_at",8.247434707
"1552338_at",5.084642012
"1552340_at",5.731607461
"1552343_s_at",7.164511356
"1552344_s_at",7.443471489
"1552347_at",9.059382436
"1552348_at",5.669475013
"1552349_a_at",5.168811247
"1552354_at",4.946334355
"1552355_s_at",6.466494672
"1552359_at",4.053895994
"1552360_a_at",6.799522917
"1552362_a_at",9.281319208
"1552364_s_at",6.540837961
"1552365_at",11.64494462
"1552367_a_at",10.48809728
"1552368_at",3.538939885
"1552370_at",8.169533767
"1552372_at",3.256149407
"1552373_s_at",3.189518139
"1552375_at",5.645035184
"1552377_s_at",7.547169458
"1552378_s_at",8.432086978
"1552379_at",3.029376889
"1552381_at",4.29601457
"1552383_at",6.876756768
"1552384_a_at",5.597154793
"1552386_at",5.051475172
"1552388_at",6.992151179
"1552389_at",5.335204735
"1552390_a_at",6.97603232
"1552391_at",4.4709496
"1552393_at",3.438087007
"1552394_a_at",3.161114047
"1552395_at",8.05516448
"1552396_at",5.330876905
"1552398_a_at",5.785372278
"1552399_a_at",4.147946123
"1552400_a_at",6.419560203
"1552401_a_at",4.592073298
"1552402_at",4.80845202
"1552405_at",5.008737719
"1552408_at",3.926681424
"1552409_a_at",6.783389632
"1552410_at",5.444187385
"1552411_at",7.776291508
"1552412_a_at",3.752606353
"1552414_at",4.01125837
"1552415_a_at",5.052214291
"1552417_a_at",6.463603416
"1552418_at",6.275375232
"1552419_s_at",5.908651042
"1552421_a_at",4.382451914
"1552422_at",5.899611042
"1552423_at",6.718540022
"1552424_at",4.054531528
"1552425_a_at",5.600964714
"1552426_a_at",10.51915076
"1552427_at",4.798499767
"1552430_at",5.238063108
"1552432_at",6.675566707
"1552436_a_at",5.769124946
"1552438_a_at",4.513429125
"1552439_s_at",4.443484517
"1552440_at",5.270524013
"1552445_a_at",4.347334863
"1552448_a_at",4.966662679
"1552449_a_at",5.05175522
"1552450_a_at",6.158153141
"1552452_at",4.255415446
"1552453_a_at",4.809238708
"1552455_at",7.580031398
"1552456_a_at",5.592149657
"1552457_a_at",5.104029594
"1552458_at",3.782678701
"1552459_a_at",5.571517381
"1552461_at",3.900697705
"1552463_at",4.023437998
"1552466_x_at",3.502078111
"1552467_at",7.405026238
"1552468_a_at",5.866297113
"1552470_a_at",6.038471645
"1552472_a_at",5.970093114
"1552473_at",8.373281557
"1552474_a_at",8.615250911
"1552476_s_at",6.197977369
"1552477_a_at",6.950131196
"1552478_a_at",4.65271196
"1552480_s_at",3.419970623
"1552481_s_at",5.135261966
"1552482_at",4.755322145
"1552484_at",7.342958009
"1552485_at",7.848030325
"1552486_s_at",8.347917155
"1552487_a_at",3.70935843
"1552489_s_at",3.439512909
"1552490_at",5.503166342
"1552491_at",5.53642804
"1552493_s_at",4.489439183
"1552494_at",5.373167663
"1552496_a_at",6.622815121
"1552497_a_at",6.637394028
"1552498_at",6.037024399
"1552499_a_at",4.928726929
"1552501_a_at",6.963375522
"1552502_s_at",5.904829607
"1552503_at",6.934318072
"1552504_a_at",5.21946512
"1552506_at",4.98515906
"1552507_at",5.186273431
"1552508_at",6.732017064
"1552509_a_at",6.557470944
"1552510_at",9.409566278
"1552511_a_at",3.916745376
"1552514_at",4.901382166
"1552515_at",4.807028889
"1552516_a_at",5.202471713
"1552518_s_at",4.544621799
"1552519_at",6.504017953
"1552520_at",4.340044924
"1552521_a_at",3.316845749
"1552522_at",3.392215108
"1552523_a_at",5.149474062
"1552524_at",7.190748824
"1552526_at",5.011124142
"1552528_at",8.159186343
"1552531_a_at",5.278394204
"1552532_a_at",6.977338447
"1552535_at",8.568149837
"1552536_at",6.291571874
"1552538_a_at",4.266856373
"1552540_s_at",7.205217245
"1552541_at",6.853386739
"1552542_s_at",5.031420741
"1552543_a_at",5.439735533
"1552544_at",5.563431712
"1552546_a_at",4.771079434
"1552548_at",5.970809915
"1552549_a_at",7.584734809
"1552552_s_at",4.452002969
"1552553_a_at",6.132596837
"1552554_a_at",4.414398147
"1552555_at",6.634634676
"1552557_a_at",5.445326829
"1552558_a_at",6.6317289
"1552559_a_at",5.231007675
"1552562_at",6.176694051
"1552563_a_at",5.857709084
"1552564_at",5.832282889
"1552566_at",5.198102643
"1552568_at",5.816696797
"1552569_a_at",5.40518811
"1552570_at",4.413810474
"1552572_a_at",3.490454171
"1552573_s_at",5.077510749
"1552575_a_at",4.746409266
"1552576_at",6.085326297
"1552578_a_at",7.991861401
"1552579_a_at",5.019220005
"1552580_at",5.356762512
"1552582_at",3.658161537
"1552583_s_at",5.022853268
"1552584_at",7.044670843
"1552585_s_at",3.561536334
"1552586_at",6.240704117
"1552587_at",4.165472235
"1552588_a_at",4.160929355
"1552590_a_at",3.875753387
"1552592_at",3.867109432
"1552594_at",6.638560957
"1552596_at",7.531146502
"1552598_at",5.392349209
"1552599_at",3.950666856
"1552602_at",6.333832816
"1552604_at",6.207274538
"1552605_s_at",4.040836525
"1552607_at",5.978472292
"1552608_at",5.598421349
"1552609_s_at",4.797464441
"1552610_a_at",9.397306827
"1552611_a_at",10.69243772
"1552612_at",8.141780427
"1552613_s_at",7.612575471
"1552615_at",8.505328437
"1552616_a_at",6.580375312
"1552617_a_at",8.876802304
"1552618_at",8.461224192
"1552619_a_at",4.770436478
"1552620_at",8.238338199
"1552621_at",10.32644791
"1552622_s_at",9.499961756
"1552623_at",5.028538087
"1552625_a_at",7.992359318
"1552626_a_at",6.540390224
"1552627_a_at",7.958222586
"1552628_a_at",9.613993209
"1552629_a_at",4.554419065
"1552630_a_at",6.700946345
"1552631_a_at",5.742729853
"1552632_a_at",6.277266721
"1552633_at",6.584031921
"1552634_a_at",5.907407733
"1552637_at",4.327466775
"1552639_at",5.911654652
"1552641_s_at",7.253465328
"1552643_at",8.527806467
"1552644_a_at",6.068851864
"1552646_at",6.287375365
"1552648_a_at",7.294862995
"1552649_a_at",5.739682936
"1552651_a_at",6.202916977
"1552652_at",7.593757032
"1552656_s_at",5.931046564
"1552657_a_at",5.901080435
"1552658_a_at",4.869119622
"1552660_a_at",6.101168642
"1552661_at",3.130724666
"1552662_a_at",5.93834653
"1552663_a_at",7.657061292
"1552664_at",7.530249438
"1552665_at",6.091928226
"1552666_a_at",3.704510659
"1552667_a_at",6.924172373
"1552669_at",5.111384048
"1552670_a_at",6.42896862
"1552671_a_at",5.414829156
"1552672_a_at",6.727111986
"1552673_at",3.564501333
"1552674_at",3.446425292
"1552675_at",3.533191395
"1552676_at",5.862836251
"1552677_a_at",7.116450973
"1552678_a_at",7.05003391
"1552680_a_at",4.195956345
"1552682_a_at",4.120038889
"1552684_a_at",6.665961951
"1552685_a_at",6.598865529
"1552686_at",5.458613945
"1552687_a_at",4.717103851
"1552689_at",7.321947833
"1552690_a_at",6.168340437
"1552691_at",4.291237833
"1552693_at",3.415471764
"1552694_at",3.922090603
"1552695_a_at",6.629009692
"1552696_at",5.280697368
"1552698_at",6.471107476
"1552701_a_at",9.506042961
"1552703_s_at",8.753940204
"1552705_at",5.304578044
"1552708_a_at",4.107393522
"1552711_a_at",9.161954397
"1552712_a_at",5.795793366
"1552713_a_at",7.46177106
"1552714_at",4.634375037
"1552715_a_at",4.743181172
"1552716_at",7.649048675
"1552717_s_at",6.157172187
"1552718_at",6.748425846
"1552719_at",8.011580568
"1552721_a_at",7.743902575
"1552722_at",3.574421553
"1552724_at",7.15214358
"1552725_s_at",5.041838258
"1552726_at",5.39929411
"1552727_s_at",6.118105786
"1552729_at",6.402822174
"1552730_at",4.897648346
"1552731_at",3.844636424
"1552732_at",3.477279113
"1552733_at",8.248983603
"1552734_at",5.136987382
"1552735_at",6.585375899
"1552736_a_at",4.354628295
"1552737_s_at",4.622534437
"1552738_a_at",4.661792986
"1552739_s_at",7.363817854
"1552740_at",5.633493903
"1552742_at",3.81321085
"1552743_at",5.769521174
"1552745_at",4.535159523
"1552747_a_at",3.590609575
"1552749_a_at",8.749146131
"1552750_at",3.868188703
"1552751_a_at",6.444165613
"1552752_a_at",4.273102004
"1552754_a_at",3.446131858
"1552755_at",9.584131319
"1552757_s_at",7.415536644
"1552758_at",4.012345905
"1552760_at",4.073449154
"1552761_at",7.554195554
"1552763_at",3.596574745
"1552765_x_at",3.626331429
"1552766_at",4.698698424
"1552767_a_at",9.280135268
"1552768_at",7.090045029
"1552769_at",5.056300233
"1552770_s_at",7.437365074
"1552771_a_at",3.909643623
"1552772_at",5.155092248
"1552773_at",5.396687994
"1552774_a_at",6.718515985
"1552775_at",6.540042897
"1552777_a_at",5.098787001
"1552779_a_at",3.859672983
"1552782_at",4.806846379
"1552783_at",3.393098559
"1552785_at",4.583203813
"1552787_at",6.392665206
"1552788_a_at",7.035047264
"1552789_at",7.776954634
"1552790_a_at",9.745471685
"1552791_a_at",3.367759864
"1552792_at",4.080117443
"1552793_at",6.637207731
"1552794_a_at",4.7089975
"1552796_a_at",4.745362725
"1552797_s_at",9.795002364
"1552798_a_at",7.01088736
"1552799_at",5.246006974
"1552800_at",8.007271113
"1552801_at",4.084143918
"1552803_a_at",4.108031658
"1552804_a_at",6.397383805
"1552806_a_at",5.434460174
"1552807_a_at",7.461498805
"1552808_at",3.412601052
"1552809_at",4.182468116
"1552811_at",7.224560559
"1552812_a_at",4.912805719
"1552813_at",6.528623817
"1552814_a_at",4.554911934
"1552816_at",5.229311757
"1552818_a_at",3.516422816
"1552819_at",5.193710396
"1552822_at",4.353151359
"1552825_at",5.414943496
"1552826_at",4.557787735
"1552827_s_at",5.230766452
"1552828_at",6.007529061
"1552829_at",7.544225735
"1552830_at",4.504359245
"1552833_at",5.974661108
"1552834_at",6.240644025
"1552835_at",5.074837976
"1552836_at",6.619553366
"1552837_at",3.150934125
"1552839_at",4.18258321
"1552841_s_at",4.510237344
"1552842_at",5.190417436
"1552843_at",3.951438507
"1552845_at",7.453155966
"1552846_s_at",7.868256
"1552848_a_at",4.705493856
"1552849_at",3.762158834
"1552851_at",3.524521451
"1552852_a_at",4.07791662
"1552853_at",4.296532757
"1552854_a_at",5.16295659
"1552856_at",4.80248196
"1552857_a_at",4.652353581
"1552858_at",3.161114047
"1552860_at",4.056935374
"1552862_at",7.278505877
"1552863_a_at",8.487274773
"1552865_a_at",6.152720385
"1552867_at",8.022313179
"1552868_at",6.975527888
"1552870_s_at",3.376763345
"1552872_at",6.107756593
"1552873_s_at",7.013083449
"1552875_a_at",3.621293772
"1552876_at",4.004125238
"1552877_s_at",6.357945985
"1552878_at",5.161954787
"1552879_a_at",6.324458502
"1552880_at",5.883948576
